gene_description,gene_rank
 APC regulator of WNT signaling pathway,16
 Wnt family member 16,16
 FXYD domain containing ion transport regulator 2,16
 signal transducer and activator of transcription 2,16
 TSC complex subunit 2,15
 ryanodine receptor 2,15
 CD14 molecule,15
 glucokinase,15
 ETS transcription factor ELK1,15
 integrin subunit alpha 2b,15
 eukaryotic translation initiation factor 4E binding protein 1,15
 hexokinase 1,15
 frizzled class receptor 9,15
 calcium voltage-gated channel subunit alpha1 B,15
 glutamate ionotropic receptor NMDA type subunit 2C,15
 frizzled class receptor 8,15
 frizzled class receptor 7,15
 frizzled class receptor 6,15
 frizzled class receptor 5,15
 glutamate ionotropic receptor NMDA type subunit 2D,15
 frizzled class receptor 4,15
 heat shock protein 90 alpha family class A member 1,15
 solute carrier family 25 member 6,15
 glutamate ionotropic receptor AMPA type subunit 2,15
 frizzled class receptor 2,15
 frizzled class receptor 10,15
 frizzled class receptor 1,15
 heat shock protein 90 alpha family class B member 1,15
 insulin receptor substrate 2,15
 Sp1 transcription factor,15
 dishevelled segment polarity protein 1,15
 solute carrier family 25 member 5,15
 hexokinase 2,15
 Wnt family member 6,15
 aldehyde dehydrogenase 2 family member,15
 Wnt family member 7A,15
 histone deacetylase 2,15
 hexokinase 3,15
 Wnt family member 2B,15
 aldehyde dehydrogenase 1 family member B1,15
 Janus kinase 3,15
 Wnt family member 7B,15
 Wnt family member 8A,15
 histone deacetylase 1,15
 Wnt family member 9A,15
 hexokinase domain containing 1,15
 dishevelled segment polarity protein 3,15
 Wnt family member 8B,15
 Wnt family member 10A,15
 Wnt family member 2,15
 Wnt family member 11,15
 solute carrier family 25 member 31,15
 solute carrier family 25 member 4,15
 fibroblast growth factor 2,15
 cytochrome b-245 beta chain,15
 angiotensinogen,15
 caspase 1,15
 dishevelled segment polarity protein 2,15
 aldehyde dehydrogenase 3 family member A2,15
" RAP1A, member of RAS oncogene family",15
 Wnt family member 10B,15
 Wnt family member 9B,15
 axin 1,14
 CD40 ligand,14
 integrin subunit alpha 4,14
 C-X-C motif chemokine ligand 2,14
 RAS related,14
" RAP1B, member of RAS oncogene family",14
 glutamate ionotropic receptor AMPA type subunit 1,14
 eukaryotic translation initiation factor 2 alpha kinase 3,14
 C-X-C motif chemokine ligand 1,14
" phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma",14
 protein phosphatase 2 scaffold subunit Abeta,14
 C-X-C motif chemokine ligand 3,14
 axin 2,14
" Ras homolog, mTORC1 binding",14
 protein phosphatase 2 scaffold subunit Aalpha,14
 integrin subunit alpha 2,14
" FYN proto-oncogene, Src family tyrosine kinase",14
 ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3,14
 ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1,14
 ATM serine/threonine kinase,14
 vav guanine nucleotide exchange factor 2,14
 vav guanine nucleotide exchange factor 3,14
 aldehyde dehydrogenase 7 family member A1,14
 interferon regulatory factor 9,14
 ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2,14
 vav guanine nucleotide exchange factor 1,14
 monoamine oxidase B,14
 succinate dehydrogenase complex subunit D,14
 succinate dehydrogenase complex subunit C,14
 eukaryotic translation initiation factor 2 subunit alpha,14
 succinate dehydrogenase complex iron sulfur subunit B,14
 succinate dehydrogenase complex flavoprotein subunit A,14
 transforming growth factor alpha,14
 suppressor of cytokine signaling 3,14
 monoamine oxidase A,14
 ubiquinol-cytochrome c reductase binding protein,13
 cytochrome c oxidase subunit III,13
 UDP glucuronosyltransferase family 2 member B11,13
 glutamate ionotropic receptor AMPA type subunit 3,13
 cytochrome c oxidase subunit II,13
 ubiquinol-cytochrome c reductase complex III subunit VII,13
 UDP glucuronosyltransferase family 2 member A3,13
 UDP glucuronosyltransferase family 2 member B10,13
 UDP glucuronosyltransferase family 2 member B17,13
 ring-box 1,13
 UDP glucuronosyltransferase family 2 member A2,13
 NADH:ubiquinone oxidoreductase subunit B9,13
" ubiquinol-cytochrome c reductase, complex III subunit XI",13
 NADH:ubiquinone oxidoreductase subunit B8,13
 UDP glucuronosyltransferase family 2 member A1 complex locus,13
 UDP glucuronosyltransferase family 1 member A9,13
 hypoxia inducible factor 1 subunit alpha,13
 NADH:ubiquinone oxidoreductase subunit B7,13
 UDP glucuronosyltransferase family 1 member A8,13
 glutamate metabotropic receptor 1,13
 UDP glucuronosyltransferase family 2 member B15,13
 cytochrome c oxidase subunit 7A2 like,13
 NADH:ubiquinone oxidoreductase subunit C1,13
 NADH:ubiquinone oxidoreductase subunit V3,13
 NDUFC2-KCTD14 readthrough,13
 cytochrome c oxidase subunit 4I1,13
 cytochrome c oxidase subunit 7B,13
 NDUFA4 mitochondrial complex associated like 2,13
 cytochrome c oxidase subunit 7B2,13
 cytochrome c oxidase subunit 7C,13
 ubiquinol-cytochrome c reductase hinge protein like,13
 NDUFA4 mitochondrial complex associated,13
 UDP glucuronosyltransferase family 1 member A7,13
 cytochrome c oxidase subunit 7A1,13
 ubiquinol-cytochrome c reductase hinge protein,13
 cytochrome c oxidase subunit 6C,13
 ubiquinol-cytochrome c reductase core protein 2,13
 ubiquinol-cytochrome c reductase core protein 1,13
" ubiquinol-cytochrome c reductase, complex III subunit X",13
 NADH:ubiquinone oxidoreductase subunit S6,13
 NADH:ubiquinone oxidoreductase subunit S5,13
 UDP glucuronosyltransferase family 2 member B7,13
 aldehyde dehydrogenase 9 family member A1,13
 cytochrome c oxidase subunit 8A,13
 cytochrome c oxidase subunit 8C,13
 UDP glucuronosyltransferase family 2 member B4,13
 X-linked inhibitor of apoptosis,13
 NADH:ubiquinone oxidoreductase subunit S4,13
 cytochrome c oxidase subunit I,13
 UDP glucuronosyltransferase family 2 member B28,13
 cytochrome c oxidase subunit 7A2,13
" ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1",13
 NADH:ubiquinone oxidoreductase subunit C2,13
 cytochrome c oxidase subunit 4I2,13
 UDP glucuronosyltransferase family 1 member A6,13
 NADH:ubiquinone oxidoreductase subunit A12,13
 integrin subunit alpha 6,13
 NADH:ubiquinone oxidoreductase core subunit S8,13
 NADH:ubiquinone oxidoreductase core subunit V1,13
 NADH:ubiquinone oxidoreductase core subunit V2,13
 NADH:ubiquinone oxidoreductase subunit A1,13
 NADH:ubiquinone oxidoreductase subunit A10,13
 NADH:ubiquinone oxidoreductase subunit A11,13
 UDP glucuronosyltransferase family 1 member A5,13
 NADH:ubiquinone oxidoreductase core subunit S3,13
 cytochrome c1,13
 NADH:ubiquinone oxidoreductase subunit A2,13
 NADH:ubiquinone oxidoreductase subunit A3,13
 NADH:ubiquinone oxidoreductase subunit A5,13
 NADH:ubiquinone oxidoreductase subunit A6,13
 NADH:ubiquinone oxidoreductase subunit A7,13
 NADH:ubiquinone oxidoreductase subunit A8,13
 NADH:ubiquinone oxidoreductase core subunit S7,13
 NADH:ubiquinone oxidoreductase core subunit S2,13
 interferon regulatory factor 7,13
 platelet derived growth factor D,13
 interleukin 1 receptor type 1,13
" phosphofructokinase, muscle",13
 TNF receptor associated factor 5,13
" phosphofructokinase, platelet",13
" phosphofructokinase, liver type",13
 calcium/calmodulin dependent protein kinase IV,13
 cytochrome c oxidase subunit 6A1,13
 cytochrome c oxidase subunit 6A2,13
 NADH:ubiquinone oxidoreductase core subunit S1,13
 platelet derived growth factor C,13
 interleukin 5,13
 TSC complex subunit 1,13
 cytochrome c oxidase subunit 6B1,13
 cytochrome c oxidase subunit 5B,13
 cytochrome c oxidase subunit 6B2,13
" phosphoenolpyruvate carboxykinase 2, mitochondrial",13
 phosphoenolpyruvate carboxykinase 1,13
 paxillin,13
 nitric oxide synthase 1,13
 fibroblast growth factor receptor 3,13
 UDP glucuronosyltransferase family 1 member A4,13
 NADH:ubiquinone oxidoreductase subunit B6,13
 NADH:ubiquinone oxidoreductase subunit B5,13
 NADH:ubiquinone oxidoreductase subunit B4,13
 NADH:ubiquinone oxidoreductase subunit B3,13
 UDP glucuronosyltransferase family 1 member A3,13
 NADH:ubiquinone oxidoreductase subunit B2,13
 UDP glucuronosyltransferase family 1 member A10,13
 fibroblast growth factor receptor 2,13
 retinoid X receptor gamma,13
 retinoid X receptor beta,13
 NADH:ubiquinone oxidoreductase subunit A13,13
 NADH:ubiquinone oxidoreductase subunit B1,13
 cytochrome c oxidase subunit 5A,13
 cytochrome b,13
 NADH:ubiquinone oxidoreductase subunit A9,13
 NADH:ubiquinone oxidoreductase subunit AB1,13
 protein kinase C epsilon,13
 mitogen-activated protein kinase kinase kinase 14,13
 NADH:ubiquinone oxidoreductase subunit B11,13
 UDP glucuronosyltransferase family 1 member A1,13
 NADH:ubiquinone oxidoreductase subunit B10,13
 NADH dehydrogenase subunit 2,12
 NADH dehydrogenase subunit 1,12
 acyl-CoA oxidase 1,12
" acyl-CoA oxidase 3, pristanoyl",12
 acetyl-CoA acetyltransferase 2,12
 solute carrier family 8 member A1,12
 fibronectin 1,12
 eukaryotic translation initiation factor 2 alpha kinase 2,12
 NADH dehydrogenase subunit 4,12
 Fc fragment of IgG receptor IIa,12
" LYN proto-oncogene, Src family tyrosine kinase",12
 neutrophil cytosolic factor 1,12
 pyruvate kinase M1/2,12
 NADH dehydrogenase subunit 3,12
 solute carrier family 8 member A2,12
 NADH dehydrogenase subunit 4L,12
 tubulin alpha 8,12
 beclin 2,12
 G protein subunit alpha 13,12
 beclin 1,12
 ATPase H+ transporting V0 subunit d2,12
 heat shock protein family A (Hsp70) member 8,12
 heat shock protein family A (Hsp70) member 6,12
 dihydrolipoamide dehydrogenase,12
 caspase 7,12
 ATPase H+ transporting V0 subunit d1,12
 insulin receptor substrate 4,12
 solute carrier family 2 member 1,12
 solute carrier family 8 member A3,12
 NADH dehydrogenase subunit 6,12
 peptidylprolyl isomerase F,12
 integrin subunit alpha L,12
 NADH dehydrogenase subunit 5,12
 cyclin A2,12
 tubulin alpha like 3,12
 CD36 molecule,12
 glutathione S-transferase alpha 3,12
 laminin subunit alpha 1,12
 laminin subunit alpha 2,12
 C-X-C motif chemokine receptor 4,12
 interleukin 6 receptor,12
 microsomal glutathione S-transferase 1,12
 endothelin 1,12
 glutathione S-transferase alpha 2,12
 heat shock protein family A (Hsp70) member 1B,12
 C-X-C motif chemokine ligand 10,12
 glucose-6-phosphatase catalytic subunit 3,12
 glucose-6-phosphatase catalytic subunit 2,12
 glucose-6-phosphatase catalytic subunit 1,12
 PYD and CARD domain containing,12
 CD86 molecule,12
 glutathione S-transferase alpha 4,12
 thrombospondin 1,12
 heat shock protein family A (Hsp70) member 1A,12
 heat shock protein family A (Hsp70) member 2,12
 glutathione S-transferase mu 1,12
 glutathione S-transferase mu 2,12
 glutathione S-transferase mu 3,12
 glutathione S-transferase mu 4,12
 glutathione S-transferase mu 5,12
 glutathione S-transferase omega 1,12
 glutathione S-transferase omega 2,12
 interleukin 2 receptor subunit gamma,12
 glutathione S-transferase theta 1,12
 glutathione S-transferase theta 2 (gene/pseudogene),12
 glutamic-oxaloacetic transaminase 2,12
 glutathione S-transferase theta 2B,12
 microsomal glutathione S-transferase 2,12
 microsomal glutathione S-transferase 3,12
 cadherin 1,12
 glutathione S-transferase alpha 5,12
 tubulin alpha 1b,12
 cyclin A1,12
 tubulin alpha 3c,12
 tubulin alpha 3d,12
 CD4 molecule,12
 acetyl-CoA acetyltransferase 1,12
 CD28 molecule,12
 tubulin alpha 1a,12
 tubulin alpha 1c,12
 tubulin alpha 3e,12
 heat shock protein family A (Hsp70) member 1 like,12
 tubulin alpha 4a,12
 colony stimulating factor 1,12
 glutathione S-transferase alpha 1,12
" T cell immune regulator 1, ATPase H+ transporting V0 subunit a3",11
 endoplasmic reticulum to nucleus signaling 1,11
 CD3d molecule,11
 ATPase H+ transporting V0 subunit a1,11
 CD3e molecule,11
 regulatory associated protein of MTOR complex 1,11
 fibroblast growth factor 17,11
 ATP synthase peripheral stalk-membrane subunit b,11
 catalase,11
 interleukin 2 receptor subunit beta,11
 RAS related 2,11
 ATP synthase peripheral stalk subunit OSCP,11
 interleukin 2 receptor subunit alpha,11
 solute carrier family 9 member A1,11
 ATP synthase peripheral stalk subunit F6,11
 S-phase kinase associated protein 1,11
 guanylate cyclase 1 soluble subunit alpha 1,11
 protein phosphatase 2 regulatory subunit Balpha,11
 ATP synthase peripheral stalk subunit d,11
 glutamic-oxaloacetic transaminase 1 like 1,11
 cytochrome P450 family 2 subfamily E member 1,11
 phospholipase C epsilon 1,11
 ATPase H+ transporting V0 subunit c,11
 glutamic-oxaloacetic transaminase 1,11
 protein kinase C theta,11
 enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase,11
 G protein subunit alpha 12,11
 matrix metallopeptidase 2,11
 ATPase H+ transporting V0 subunit a2,11
" enoyl-CoA hydratase, short chain 1",11
 guanylate cyclase 1 soluble subunit alpha 2,11
 muscle RAS oncogene homolog,11
 phosphoinositide-3-kinase regulatory subunit 6,11
 nuclear factor of activated T cells 4,11
 Fc fragment of IgG receptor Ia,11
 ATPase H+ transporting V1 subunit H,11
 coagulation factor II thrombin receptor,11
 glutathione S-transferase pi 1,11
 phosphoinositide-3-kinase regulatory subunit 5,11
 arrestin beta 2,11
 arrestin beta 1,11
 NLR family pyrin domain containing 3,11
 ATP synthase membrane subunit c locus 2,11
 ATP synthase membrane subunit c locus 3,11
 integrin subunit alpha 3,11
 fibroblast growth factor 18,11
 phosphodiesterase 3B,11
 fibroblast growth factor 1,11
 fibroblast growth factor 10,11
 linker for activation of T cells,11
" KIT proto-oncogene, receptor tyrosine kinase",11
 pyruvate kinase L/R,11
 peroxisome proliferator activated receptor gamma,11
 cytochrome b-245 alpha chain,11
 fibroblast growth factor 9,11
 Rho guanine nucleotide exchange factor 12,11
 fibroblast growth factor 8,11
 fibroblast growth factor 7,11
 fibroblast growth factor 6,11
 ATP synthase membrane subunit c locus 1,11
 protein phosphatase 2 regulatory subunit Bbeta,11
 fibroblast growth factor 5,11
 fibroblast growth factor 4,11
 fibroblast growth factor 3,11
 neurotrophic receptor tyrosine kinase 1,11
 fibroblast growth factor 23,11
 fibroblast growth factor 22,11
 fibroblast growth factor 21,11
 fibroblast growth factor 20,11
 fibroblast growth factor 16,11
 protein phosphatase 2 regulatory subunit Bdelta,11
" proteasome 26S subunit, ATPase 1",11
 ATP synthase F0 subunit 6,11
 guanylate cyclase 1 soluble subunit beta 1,11
 cholinergic receptor muscarinic 3,11
 collagen type I alpha 1 chain,11
 ATP synthase F1 subunit gamma,11
 ATP synthase F1 subunit epsilon,11
 protein phosphatase 2 regulatory subunit Bgamma,11
 DNA damage inducible transcript 3,11
 cytochrome P450 family 1 subfamily A member 2,11
 adrenoceptor beta 1,11
 collagen type I alpha 2 chain,11
 cullin 1,11
 ATP synthase F1 subunit delta,11
" ABL proto-oncogene 1, non-receptor tyrosine kinase",11
